max_residues,max_batch,time
1,1,244.2510256767273
1,64,241.90322852134705
1,4096,240.49677228927612
1,262144,230.0708978176117
1,16777216,239.7274899482727
1,1073741824,239.591237783432
1,68719476736,229.66086888313293
64,1,229.67470288276672
64,64,230.50084781646729
64,4096,230.58775997161865
64,262144,230.0933437347412
64,16777216,230.38623213768005
64,1073741824,230.831716299057
64,68719476736,231.01891899108887
4096,1,244.5550389289856
4096,64,234.4682879447937
4096,4096,228.41781163215637
4096,262144,229.0672745704651
4096,16777216,229.70020961761475
4096,1073741824,228.83718180656433
4096,68719476736,229.161936044693
262144,1,230.08317470550537
262144,64,228.4637839794159
262144,4096,228.23276281356812
262144,262144,229.5488829612732
262144,16777216,227.8502960205078
262144,1073741824,229.30792045593262
262144,68719476736,227.70243740081787
16777216,1,230.31297516822815
16777216,64,227.9805450439453
16777216,4096,229.83549809455872
16777216,262144,228.33037900924683
16777216,16777216,229.73112750053406
16777216,1073741824,228.3119478225708
16777216,68719476736,230.83271598815918
1073741824,1,230.50551843643188
1073741824,64,228.86628818511963
1073741824,4096,228.0202295780182
1073741824,262144,230.08513617515564
1073741824,16777216,231.36145901679993
1073741824,1073741824,228.26472520828247
1073741824,68719476736,230.3017692565918
68719476736,1,230.88857913017273
68719476736,64,231.91622710227966
68719476736,4096,242.55644702911377
68719476736,262144,236.54980993270874
68719476736,16777216,230.8028085231781
68719476736,1073741824,229.56107711791992
68719476736,68719476736,230.45297813415527
