,precision,recall,f1-score,support
80,1.0,0.9333333333333333,0.9655172413793104,15.0
81,0.0,0.0,0.0,1.0
82,0.15853658536585366,0.7647058823529411,0.26262626262626265,17.0
83,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0
86,0.0,0.0,0.0,1.0
87,1.0,1.0,1.0,15.0
88,1.0,1.0,1.0,1.0
89,0.0,0.0,0.0,1.0
90,1.0,0.6,0.75,5.0
91,0.0,0.0,0.0,2.0
92,1.0,1.0,1.0,3.0
93,0.0,0.0,0.0,2.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.6666666666666666,1.0,0.8,2.0
98,1.0,1.0,1.0,4.0
99,0.0,0.0,0.0,4.0
100,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,1.0
102,1.0,1.0,1.0,1.0
103,1.0,0.6,0.75,5.0
104,0.0,0.0,0.0,1.0
105,1.0,1.0,1.0,4.0
106,1.0,1.0,1.0,3.0
107,1.0,1.0,1.0,2.0
108,1.0,1.0,1.0,1.0
109,0.9230769230769231,1.0,0.96,12.0
110,0.0,0.0,0.0,1.0
111,1.0,0.6666666666666666,0.8,3.0
112,1.0,1.0,1.0,1.0
113,0.0,0.0,0.0,2.0
114,0.0,0.0,0.0,1.0
115,1.0,1.0,1.0,6.0
116,0.0,0.0,0.0,1.0
117,0.5,1.0,0.6666666666666666,1.0
118,1.0,1.0,1.0,4.0
119,0.0,0.0,0.0,1.0
120,0.967741935483871,0.9375,0.9523809523809523,32.0
121,0.8571428571428571,1.0,0.9230769230769231,6.0
122,1.0,0.6666666666666666,0.8,3.0
123,1.0,1.0,1.0,1.0
124,0.8,1.0,0.8888888888888888,4.0
125,1.0,1.0,1.0,1.0
126,0.0,0.0,0.0,1.0
127,0.6666666666666666,1.0,0.8,2.0
128,1.0,1.0,1.0,1.0
129,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,2.0
131,0.9333333333333333,1.0,0.9655172413793104,28.0
132,1.0,1.0,1.0,1.0
133,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,2.0
135,0.3333333333333333,1.0,0.5,1.0
136,0.0,0.0,0.0,1.0
137,0.6666666666666666,0.5,0.5714285714285714,4.0
138,0.0,0.0,0.0,1.0
139,0.0,0.0,0.0,1.0
140,0.0,0.0,0.0,1.0
141,0.0,0.0,0.0,1.0
142,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,1.0
144,0.5,0.25,0.3333333333333333,4.0
145,0.0,0.0,0.0,5.0
146,0.0,0.0,0.0,1.0
147,1.0,0.7142857142857143,0.8333333333333334,7.0
148,0.6666666666666666,1.0,0.8,4.0
149,1.0,1.0,1.0,4.0
150,0.3333333333333333,1.0,0.5,1.0
151,1.0,0.5,0.6666666666666666,2.0
152,1.0,1.0,1.0,1.0
153,0.0,0.0,0.0,1.0
154,1.0,1.0,1.0,1.0
155,0.0,0.0,0.0,1.0
156,1.0,1.0,1.0,6.0
157,0.2,1.0,0.3333333333333333,1.0
158,0.0,0.0,0.0,1.0
159,0.0,0.0,0.0,3.0
160,1.0,0.5,0.6666666666666666,2.0
161,0.0,0.0,0.0,3.0
162,1.0,1.0,1.0,1.0
163,1.0,0.5,0.6666666666666666,4.0
164,0.0,0.0,0.0,1.0
165,1.0,1.0,1.0,1.0
166,0.0,0.0,0.0,1.0
167,0.0,0.0,0.0,1.0
168,0.0,0.0,0.0,1.0
169,0.0,0.0,0.0,1.0
170,0.5,1.0,0.6666666666666666,1.0
171,1.0,1.0,1.0,1.0
172,0.0,0.0,0.0,1.0
173,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,1.0
175,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,2.0
177,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0
179,0.0,0.0,0.0,1.0
180,1.0,1.0,1.0,1.0
181,1.0,1.0,1.0,2.0
182,0.0,0.0,0.0,1.0
183,0.0,0.0,0.0,3.0
184,0.0,0.0,0.0,1.0
185,0.0,0.0,0.0,5.0
186,0.0,0.0,0.0,1.0
187,1.0,1.0,1.0,1.0
188,1.0,0.5,0.6666666666666666,2.0
189,0.25,1.0,0.4,1.0
190,1.0,0.6666666666666666,0.8,3.0
191,1.0,0.25,0.4,4.0
192,0.0,0.0,0.0,2.0
193,1.0,0.3333333333333333,0.5,3.0
194,0.7777777777777778,1.0,0.875,7.0
195,0.0,0.0,0.0,1.0
196,1.0,0.3333333333333333,0.5,3.0
197,1.0,0.5,0.6666666666666666,2.0
198,1.0,1.0,1.0,2.0
199,0.0,0.0,0.0,1.0
200,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,1.0
202,1.0,1.0,1.0,2.0
203,0.0,0.0,0.0,1.0
204,1.0,1.0,1.0,1.0
205,1.0,1.0,1.0,5.0
206,1.0,0.5,0.6666666666666666,2.0
207,1.0,1.0,1.0,1.0
208,0.6666666666666666,1.0,0.8,2.0
209,0.0,0.0,0.0,1.0
210,1.0,1.0,1.0,2.0
211,1.0,1.0,1.0,2.0
212,0.0,0.0,0.0,2.0
213,0.0,0.0,0.0,2.0
214,0.8888888888888888,1.0,0.9411764705882353,8.0
215,1.0,1.0,1.0,1.0
216,1.0,1.0,1.0,1.0
217,1.0,1.0,1.0,2.0
218,0.0,0.0,0.0,1.0
219,1.0,1.0,1.0,1.0
220,0.0,0.0,0.0,1.0
221,1.0,1.0,1.0,5.0
222,1.0,1.0,1.0,1.0
223,0.0,0.0,0.0,1.0
224,1.0,1.0,1.0,1.0
225,1.0,1.0,1.0,1.0
226,0.5,1.0,0.6666666666666666,1.0
227,0.0,0.0,0.0,1.0
228,1.0,1.0,1.0,1.0
229,1.0,1.0,1.0,1.0
230,0.9111111111111111,1.0,0.9534883720930233,41.0
231,1.0,1.0,1.0,1.0
232,0.0,0.0,0.0,1.0
233,1.0,1.0,1.0,1.0
234,0.0,0.0,0.0,1.0
235,1.0,1.0,1.0,2.0
236,0.0,0.0,0.0,1.0
237,1.0,1.0,1.0,1.0
238,1.0,1.0,1.0,3.0
239,0.0,0.0,0.0,1.0
240,1.0,0.6666666666666666,0.8,3.0
241,1.0,1.0,1.0,1.0
242,0.0,0.0,0.0,2.0
243,1.0,1.0,1.0,4.0
244,0.0,0.0,0.0,1.0
245,1.0,1.0,1.0,1.0
246,1.0,1.0,1.0,1.0
247,0.6666666666666666,1.0,0.8,2.0
248,1.0,0.3333333333333333,0.5,3.0
249,1.0,1.0,1.0,1.0
250,0.0,0.0,0.0,1.0
251,0.8571428571428571,1.0,0.9230769230769231,6.0
252,1.0,0.6666666666666666,0.8,3.0
253,1.0,1.0,1.0,4.0
254,0.0,0.0,0.0,2.0
255,0.0,0.0,0.0,1.0
256,0.0,0.0,0.0,1.0
257,0.6,1.0,0.75,3.0
258,1.0,1.0,1.0,2.0
259,0.0,0.0,0.0,1.0
260,1.0,1.0,1.0,1.0
261,0.9166666666666666,1.0,0.9565217391304348,11.0
262,0.0,0.0,0.0,1.0
263,1.0,1.0,1.0,1.0
264,1.0,1.0,1.0,2.0
265,0.07894736842105263,1.0,0.14634146341463414,3.0
266,1.0,1.0,1.0,1.0
267,1.0,1.0,1.0,12.0
