,precision,recall,f1-score,support
162,1.0,1.0,1.0,1.0
163,0.0,0.0,0.0,4.0
164,0.0,0.0,0.0,1.0
165,1.0,1.0,1.0,1.0
166,0.0,0.0,0.0,1.0
167,0.0,0.0,0.0,1.0
168,0.0,0.0,0.0,1.0
169,0.0,0.0,0.0,1.0
170,0.5,1.0,0.6666666666666666,1.0
171,1.0,1.0,1.0,1.0
172,0.0,0.0,0.0,1.0
173,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,1.0
175,0.0,0.0,0.0,1.0
176,1.0,1.0,1.0,2.0
177,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0
179,0.0,0.0,0.0,1.0
180,1.0,1.0,1.0,1.0
181,1.0,1.0,1.0,2.0
182,1.0,1.0,1.0,1.0
183,0.0,0.0,0.0,3.0
184,0.0,0.0,0.0,1.0
185,0.0,0.0,0.0,5.0
186,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,1.0
188,1.0,0.5,0.6666666666666666,2.0
189,0.5,1.0,0.6666666666666666,1.0
190,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
191,0.0,0.0,0.0,4.0
192,0.0,0.0,0.0,2.0
193,1.0,0.3333333333333333,0.5,3.0
194,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
195,0.0,0.0,0.0,1.0
196,1.0,0.3333333333333333,0.5,3.0
197,0.0,0.0,0.0,2.0
198,1.0,1.0,1.0,2.0
199,1.0,1.0,1.0,1.0
200,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,1.0
202,1.0,1.0,1.0,2.0
203,0.0,0.0,0.0,1.0
204,1.0,1.0,1.0,1.0
205,1.0,1.0,1.0,5.0
206,0.0,0.0,0.0,2.0
207,0.0,0.0,0.0,1.0
208,0.6666666666666666,1.0,0.8,2.0
209,0.0,0.0,0.0,1.0
210,0.0,0.0,0.0,2.0
211,1.0,1.0,1.0,2.0
212,0.0,0.0,0.0,2.0
213,0.0,0.0,0.0,2.0
214,0.7272727272727273,1.0,0.8421052631578947,8.0
215,1.0,1.0,1.0,1.0
216,1.0,1.0,1.0,1.0
217,0.6666666666666666,1.0,0.8,2.0
218,0.0,0.0,0.0,1.0
219,1.0,1.0,1.0,1.0
220,0.0,0.0,0.0,1.0
221,1.0,0.8,0.8888888888888888,5.0
222,1.0,1.0,1.0,1.0
223,1.0,1.0,1.0,1.0
224,1.0,1.0,1.0,1.0
225,1.0,1.0,1.0,1.0
226,0.5,1.0,0.6666666666666666,1.0
227,0.0,0.0,0.0,1.0
228,0.0,0.0,0.0,1.0
229,0.0,0.0,0.0,1.0
230,0.7735849056603774,1.0,0.8723404255319149,41.0
231,0.5,1.0,0.6666666666666666,1.0
232,0.0,0.0,0.0,1.0
233,1.0,1.0,1.0,1.0
234,0.0,0.0,0.0,1.0
235,1.0,1.0,1.0,2.0
236,0.0,0.0,0.0,1.0
