0,0,139
0,24,3
0,72,1
0,279,1
0,293,1
0,376,1
0,570,1
0,578,1
0,782,1
0,800,1
0,842,1
0,996,1
0,1189,1
0,1195,1
0,1358,1
0,1512,1
0,1531,1
1,1,2
2,526,1
3,3,1
4,4,2
5,0,1
6,6,2
7,7,1
7,1531,1
8,1202,1
9,9,2
10,279,1
11,11,1
12,376,1
13,13,2
14,1218,1
15,15,2
16,16,2
17,0,1
18,202,1
18,1678,1
19,19,1
20,20,5
21,1541,1
22,715,1
23,23,1
24,0,2
24,24,42
24,224,1
24,782,1
24,836,1
24,1090,1
25,1579,1
26,26,1
27,27,2
28,1567,1
29,29,1
30,30,1
31,31,2
32,32,8
32,279,1
32,1541,2
33,33,1
34,24,1
35,35,1
36,36,1
37,37,1
38,1409,1
39,39,4
40,203,1
41,41,1
41,1612,1
42,42,1
43,1538,1
44,44,1
45,45,11
45,636,1
45,1043,1
45,1661,2
46,46,1
47,47,11
48,1486,1
49,929,1
50,50,1
51,0,1
51,24,1
51,51,11
51,1524,1
52,52,1
52,1531,1
53,1419,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,1639,1
60,338,1
60,529,1
61,337,1
62,62,1
63,63,2
64,189,1
64,1384,1
65,65,2
66,66,1
67,67,1
68,68,2
69,69,2
70,70,2
71,71,2
72,72,3
73,970,1
74,0,1
74,74,1
75,75,1
76,76,8
77,1528,1
78,78,14
78,1315,1
79,1043,1
80,80,3
80,96,1
80,284,1
80,552,1
80,553,1
80,613,1
80,659,1
80,816,1
80,1069,1
80,1174,1
80,1192,1
80,1362,1
80,1432,1
80,1538,2
81,81,1
82,82,1
83,83,1
84,84,1
85,85,15
86,86,1
87,1043,1
88,88,4
88,1218,1
89,1044,1
89,1432,1
90,90,3
91,91,2
92,1531,1
93,93,1
94,1248,1
95,95,2
96,96,3
96,1142,1
97,7,1
97,32,1
97,97,2
98,782,1
99,99,1
100,100,1
101,101,3
101,1188,1
101,1409,1
102,102,1
103,103,4
104,104,3
105,105,2
106,106,1
107,107,12
108,117,1
109,109,3
110,110,1
111,259,1
111,317,1
112,112,6
113,113,1
114,114,1
115,115,4
116,116,1
117,117,32
118,118,6
119,119,2
119,1538,1
120,0,1
121,121,4
122,122,1
123,1184,1
124,124,2
125,125,1
126,126,1
127,127,2
128,128,27
128,1531,1
129,129,1
130,130,1
131,1528,1
131,1538,1
132,132,1
133,800,1
134,134,4
135,961,1
136,19,1
137,930,1
138,1528,1
139,946,1
140,80,1
141,141,1
141,253,1
141,1230,1
141,1426,1
142,107,1
142,156,1
142,392,1
142,582,1
142,1560,1
143,1218,1
144,144,4
144,849,1
144,1442,1
144,1535,1
145,145,4
146,146,4
147,1660,1
148,165,2
149,7,1
150,24,1
151,151,1
152,96,1
153,153,5
153,642,1
154,154,1
155,239,1
156,178,1
156,998,1
156,1528,1
157,157,1
157,427,1
158,1218,1
158,1226,1
158,1320,1
159,159,1
160,160,2
160,178,1
160,449,1
161,800,1
162,162,1
163,1024,1
164,253,1
165,165,1
166,166,1
167,682,1
168,439,1
169,1069,1
170,0,1
171,171,2
172,172,1
173,173,1
174,837,1
175,175,1
176,176,2
177,1265,1
178,185,1
178,323,1
178,1538,1
179,842,1
180,178,1
180,642,1
180,1178,1
180,1531,1
180,1622,1
181,1248,1
182,182,1
183,183,1
183,977,1
184,80,1
185,185,2
185,1541,1
186,521,1
186,619,1
186,830,1
186,1142,1
187,559,1
187,1538,1
188,188,3
189,189,6
189,1231,1
190,1283,1
191,414,1
191,1512,1
191,1541,1
192,192,1
192,1395,1
193,193,2
194,66,1
195,144,1
196,1538,1
197,197,2
198,1586,1
199,199,1
200,200,5
201,201,1
201,1030,1
202,202,1
203,203,2
204,938,1
205,1586,2
206,206,2
207,207,2
208,224,1
208,1560,1
209,209,8
210,210,1
211,211,1
212,212,2
213,1678,1
214,214,1
215,215,4
215,258,1
216,216,1
217,1043,1
218,218,1
219,219,1
220,220,1
221,221,1
222,0,1
223,1006,1
224,224,40
