Metric,Value
Validation,
Validation F1 Score,0.8456383778712252
Validation Accuracy Score,0.8688720011920728
Regular Testing,
Test F1 Score,0.6763287456570877
Test Accuracy Score,0.849523241954708
Test MCC,0.8489034034981805
Test Balanced Accuracy,0.7024175462735797
Bootstrapping Results,
Accuracy ,0.849368295589988
F1-Score,0.6805702848682917
MCC,0.8487463837629111
Balanced Accuracy,0.7239900898122907
