Metric,Value
Validation,
Validation F1 Score,0.826014867243915
Validation Accuracy Score,0.8527570789865871
Regular Testing,
Test F1 Score,0.6484263946011756
Test Accuracy Score,0.8347489196841007
Test MCC,0.8340560307563669
Test Balanced Accuracy,0.6791974620904482
Bootstrapping Results,
Accuracy ,0.8345693637311875
F1-Score,0.6544739261865549
MCC,0.833872827859005
Balanced Accuracy,0.7032481889772753
