Metric,Value
Validation,
Validation F1 Score,0.9026386149500278
Validation Accuracy Score,0.9195350916405901
Regular Testing,
Test F1 Score,0.7694764669012413
Test Accuracy Score,0.898092967818832
Test MCC,0.8976675836408586
Test Balanced Accuracy,0.7950052356164294
Bootstrapping Results,
Accuracy ,0.8979868891537545
F1-Score,0.7695975038455102
MCC,0.8975601474786147
Balanced Accuracy,0.811326031360067
