Metric,Value
Validation,
Validation F1 Score,0.8955754184136442
Validation Accuracy Score,0.9135747280584116
Regular Testing,
Test F1 Score,0.7620638773244279
Test Accuracy Score,0.8952622169249106
Test MCC,0.8948240197416301
Test Balanced Accuracy,0.7868551530985514
