Metric,Value
Validation,
Validation F1 Score,0.8478358490889203
Validation Accuracy Score,0.8701733935596678
Regular Testing,
Test F1 Score,0.7149265651161739
Test Accuracy Score,0.8519382104342758
Test MCC,0.8513042910373517
Test Balanced Accuracy,0.7372100645467309
Bootstrapping Results,
Accuracy ,0.8521487904401049
F1-Score,0.7216484259927761
MCC,0.8515160134335121
Balanced Accuracy,0.7584333641846907
