Metric,Value
Validation,
Validation F1 Score,0.9012724338246119
Validation Accuracy Score,0.9175979734763821
Regular Testing,
Test F1 Score,0.7703663604237581
Test Accuracy Score,0.8973480333730631
Test MCC,0.8969252340475377
Test Balanced Accuracy,0.7935055866965979
